"Time Division","Month (TD) (2)","Year (TD)","Capacity","Forecast (excl. Opp.)","Opportunities"
".YTD","April","2016","4057.775","2963.267","0"
".YTD","Februar","2016","3902.649","2865.148","0"
".YTD","Januar","2016","2971.575","2286.356","0"
".YTD","Juni","2016","4250.675","2859.279","0"
".YTD","Mai","2016","3090.7","2560.216","0"
".YTD","März","2016","3524.35","2905.04","0"
"FC+3","August","2016","4122.05","2716","822.303"
"FC+3","Juli","2016","3976.35","2424","473.566"
"FC+3","Septeber","2016","4322.7","2725","964.858"
"FC+6","Dezember","2016","4363.1","2743","1513.019"
"FC+6","November","2016","4490.1","2835","1566.644"
"FC+6","Oktober","2016","4165","2778","1874.048"
"FC+6","Januar","2017","4165","2778","1874.048"
